user_id,genres,weight
1,3883,4
1,3884,4
1,3885,4
1,3886,4
1,3887,4
1,3888,4
1,3890,4
1,3891,4
1,3894,4
1,3896,4
1,3897,4
1,3898,4
1,3899,5
2,3883,4
2,3884,4
2,3887,4
2,3888,4
2,3890,4
2,3891,3
2,3892,4
2,3893,3
2,3895,3
2,3896,4
2,3897,4
2,3898,3
2,3899,4
2,3900,4
3,3883,4
3,3884,4
3,3885,4
3,3886,4
3,3887,4
3,3890,4
3,3891,4
3,3893,3
3,3894,4
3,3895,3
3,3896,4
3,3897,4
3,3898,4
3,3899,4
3,3900,5
4,3883,4
4,3884,4
4,3886,4
4,3888,5
4,3890,4
4,3891,4
4,3893,4
4,3896,4
4,3897,4
4,3898,4
4,3899,3
4,3900,4
5,3883,3
5,3884,3
5,3885,4
5,3886,4
5,3887,3
5,3888,3
5,3889,4
5,3890,3
5,3892,4
5,3893,3
5,3894,3
5,3895,3
5,3896,3
5,3897,3
5,3898,3
5,3899,4
5,3900,4
6,3883,4
6,3884,4
6,3885,4
6,3886,4
6,3887,4
6,3888,3
6,3890,4
6,3891,3
6,3894,4
6,3896,4
6,3897,4
6,3898,4
6,3899,4
6,3900,4
7,3883,4
7,3884,5
7,3887,4
7,3888,4
7,3890,4
7,3893,5
7,3895,4
7,3896,4
7,3897,4
7,3898,5
7,3899,5
8,3883,4
8,3884,4
8,3885,4
8,3886,3
8,3887,4
8,3888,4
8,3890,4
8,3893,5
8,3894,4
8,3895,4
8,3896,4
8,3897,4
8,3898,4
8,3899,4
8,3900,4
9,3883,4
9,3884,3
9,3885,4
9,3886,4
9,3887,4
9,3888,4
9,3889,4
9,3890,4
9,3891,3
9,3892,4
9,3893,2
9,3895,4
9,3896,4
9,3897,4
9,3898,4
9,3899,4
9,3900,5
10,3883,4
10,3884,4
10,3885,4
10,3886,4
10,3887,4
10,3888,4
10,3889,4
10,3890,4
10,3891,4
10,3892,4
10,3893,4
10,3894,4
10,3895,4
10,3896,4
10,3897,4
10,3898,4
10,3899,4
10,3900,4
11,3883,4
11,3884,3
11,3885,1
11,3886,2
11,3887,3
11,3888,4
11,3889,2
11,3890,4
11,3891,2
11,3893,3
11,3894,4
11,3895,4
11,3896,3
11,3897,2
11,3898,3
11,3899,4
11,3900,3
12,3883,4
12,3884,5
12,3886,5
12,3887,3
12,3888,4
12,3890,4
12,3892,3
12,3893,3
12,3894,5
12,3895,3
12,3896,3
12,3897,4
12,3898,4
12,3899,3
13,3883,3
13,3884,3
13,3885,3
13,3886,3
13,3887,3
13,3888,3
13,3890,4
13,3891,3
13,3892,3
13,3893,3
13,3894,4
13,3895,3
